season,team,number,player,position,games,games_started,age,college
2025,DAL,75,Hakeem Adeniji,OG,12,1,27,Kansas
2025,DAL,5,Bryan Anger,P,17,0,37,California
2025,DAL,17,Brandon Aubrey,K,17,0,30,Notre Dame
2025,DAL,36,Corey Ballentine,DB,5,0,29,Washburn
2025,DAL,45,Justin Barron,LB,2,0,24,Syracuse
2025,DAL,66,T.J. Bass,OG,16,5,26,Oregon
2025,DAL,56,Cooper Beebe,C,11,11,24,Kansas State
2025,DAL,14,Markquese Bell,DB,17,3,26,Florida A&M
2025,DAL,26,DaRon Bland,DB,12,12,26,Fresno State
2025,DAL,23,Jaydon Blue,RB,5,0,21,Texas
2025,DAL,52,Tyler Booker,OG,14,14,21,Alabama
2025,DAL,25,Trikweze Bridges,DB,16,2,25,Florida
2025,DAL,83,Jalen Brooks,WR,1,0,25,South Carolina
2025,DAL,31,Josh Butler,DB,1,0,28,Michigan State
2025,DAL,11,Parris Campbell,WR,1,0,28,Ohio State
2025,DAL,21,Caelen Carson,DB,8,3,23,Wake Forest
2025,DAL,48,Zion Childress,DB,3,0,23,Kentucky
2025,DAL,38,Alijah Clark,DB,11,1,22,Syracuse
2025,DAL,18,Damone Clark,LB,8,2,25,Louisiana State
2025,DAL,95,Kenny Clark,DT,17,17,30,UCLA
2025,DAL,42,Jadeveon Clowney,DE,13,6,32,South Carolina
2025,DAL,69,Ajani Cornelius,OT,1,0,23,Oregon
2025,DAL,16,Jalen Cropper,WR,3,0,24,Fresno State
2025,DAL,43,Malik Davis,RB,10,0,26,Florida
2025,DAL,7,Trevon Diggs,DB,8,6,27,Alabama
2025,DAL,20,Kaiir Elam,DB,10,7,24,Florida
2025,DAL,41,Donovan Ezeiruaku,LB,17,9,22,Boston College
2025,DAL,85,Princeton Fant,TE,1,0,26,Tennessee
2025,DAL,87,Jake Ferguson,TE,17,10,26,Wisconsin
2025,DAL,19,Ryan Flournoy,WR,16,4,26,Southeast Missouri State
2025,DAL,13,Dante Fowler Jr.,LB,17,11,31,Florida
2025,DAL,29,C.J. Goodwin,DB,17,0,35,California (PA)
2025,DAL,60,Tyler Guyton,OT,10,10,24,Oklahoma
2025,DAL,67,Brock Hoffman,OG,17,7,26,Virginia Tech
2025,DAL,28,Malik Hooker,DB,12,12,29,Ohio State
2025,DAL,53,James Houston,LB,17,0,26,Jackson State
2025,DAL,50,Shemar James,LB,14,6,21,Florida
2025,DAL,32,Buddy Johnson,LB,1,0,26,Texas A&M
2025,DAL,76,Trevor Keegan,OG,2,0,25,Michigan
2025,DAL,94,Marshawn Kneeland,DE,7,3,24,Western Michigan
2025,DAL,88,CeeDee Lamb,WR,14,13,26,Oklahoma
2025,DAL,91,Isaiah Land,DE,1,0,25,Florida A&M
2025,DAL,61,Nick Leverett,OG,1,0,28,Rice
2025,DAL,35,Marist Liufau,LB,17,5,24,Notre Dame
2025,DAL,40,Hunter Luepke,RB,17,5,25,NorthState Dakota
2025,DAL,37,Phil Mafah,RB,1,0,23,Clemson QB 4 0 25 Tennessee
2025,DAL,81,Jonathan Mingo,WR,6,0,24,Mississippi
2025,DAL,59,Kenneth Murray,LB,17,16,26,Oklahoma
2025,DAL,97,Osa Odighizuwa,DT,17,13,27,UCLA
2025,DAL,0,DeMarvion Overshown,LB,6,5,25,Texas
2025,DAL,3,George Pickens,WR,17,15,24,Georgia
2025,DAL,4,Dak Prescott,QB,17,17,32,Mississippi State
2025,DAL,34,Shavon Revel,DB,7,5,24,East Carolina
2025,DAL,30,Robert Rochell,DB,2,0,27,Central Arkansas
2025,DAL,57,Jack Sanborn,LB,6,5,25,Wisconsin
2025,DAL,24,Miles Sanders,RB,4,0,28,Penn State
2025,DAL,86,Luke Schoonmaker,TE,17,7,27,Michigan
2025,DAL,44,Trent Sieg,LS,17,0,30,Colorado State
2025,DAL,58,Mazi Smith,DT,5,0,24,Michigan
2025,DAL,73,Tyler Smith,OG,16,16,24,Tulsa
2025,DAL,89,Brevyn Ford Spann-,TE,17,5,25,Minnesota
2025,DAL,78,Terence Steele,OT,17,17,28,Texas Tech
2025,DAL,27,Reddy Steward,DB,17,5,24,Troy State
2025,DAL,2,Juanyeh Thomas,DB,7,3,25,Georgia Tech
2025,DAL,71,Nathan Thomas,OT,17,4,24,Louisiana- Lafayette
2025,DAL,90,Solomon Thomas,DT,16,2,29,Stanford
2025,DAL,93,Jay Toia,DT,5,0,22,UCLA
2025,DAL,1,Jalen Tolbert,WR,13,8,26,South Alabama
2025,DAL,9,KaVontae Turpin,WR,15,2,29,Texas Christian Javonte
2025,DAL,33,Williams,RB,16,16,25,North Carolina
2025,DAL,92,Quinnen Williams,DT,7,7,27,Alabama
2025,DAL,54,Sam Williams,DE,17,5,26,Mississippi
2025,DAL,6,Donovan Wilson,DB,15,15,30,Texas A&M
2025,DAL,55,Logan Wilson,LB,7,1,29,Wyoming
2025,DAL,99,Perrion Winfrey,DT,1,0,25,Oklahoma
