season,team,number,player,position,games,games_started,age,college
2024,DAL,5,Bryan Anger,P,17,0,36,California
2024,DAL,17,Brandon Aubrey,K,17,0,29,Notre Dame
2024,DAL,66,T.J. Bass,OG,15,3,25,Oregon
2024,DAL,56,Cooper Beebe,C,16,16,23,Kansas State
2024,DAL,14,Markquese Bell,DB,9,0,25,Florida A&M
2024,DAL,26,DaRon Bland,DB,7,7,25,Fresno State
2024,DAL,25,Andrew Booth,DB,7,2,24,Clemson
2024,DAL,83,Jalen Brooks,WR,14,1,24,South Carolina
2024,DAL,51,Earnest Brown,DE,0,0,25,Northwestern
2024,DAL,31,Josh Butler,DB,5,3,27,Michigan State
2024,DAL,21,Caelen Carson,DB,6,5,22,Wake Forest
2024,DAL,18,Damone Clark,LB,14,2,24,Louisiana State
2024,DAL,20,Dalvin Cook,RB,2,0,29,Florida State
2024,DAL,3,Brandin Cooks,WR,10,9,31,Oregon State
2024,DAL,16,Jalen Cropper,WR,1,0,23,Fresno State
2024,DAL,7,Trevon Diggs,DB,11,11,26,Alabama
2024,DAL,23,Rico Dowdle,RB,16,15,26,South Carolina
2024,DAL,71,Chuma Edoga,OT,5,4,27,Southern California
2024,DAL,15,Ezekiel Elliott,RB,15,2,29,Ohio State
2024,DAL,85,Princeton Fant,TE,8,0,25,Tennessee
2024,DAL,87,Jake Ferguson,TE,14,14,25,Wisconsin
2024,DAL,80,Ryan Flournoy,WR,11,1,25,Southeast Missouri State
2024,DAL,99,Chauncey Golston,DE,17,13,26,Iowa
2024,DAL,29,C.J. Goodwin,DB,17,0,34,California (PA)
2024,DAL,15,Will Grier,QB,0,0,29,West Virginia
2024,DAL,60,Tyler Guyton,OT,15,11,23,Oklahoma
2024,DAL,43,Kemon Hall,DB,6,0,27,North Texas
2024,DAL,47,Darius Harris,LB,4,0,28,Middle Tennessee State
2024,DAL,52,K.J. Henry,DE,2,0,25,Clemson
2024,DAL,67,Brock Hoffman,OG,17,7,25,Virginia Tech
2024,DAL,28,Malik Hooker,DB,17,17,28,Ohio State
2024,DAL,57,Buddy Johnson,LB,14,0,25,Texas A&M
2024,DAL,93,Linval Joseph,DT,17,0,36,East Carolina
2024,DAL,50,Eric Kendricks,LB,15,15,32,UCLA
2024,DAL,94,Marshawn Kneeland,DE,11,1,23,Western Michigan
2024,DAL,88,CeeDee Lamb,WR,15,15,25,Oklahoma
2024,DAL,19,Trey Lance,QB,4,1,24,North State Dakota
2024,DAL,90,Demarcus Lawrence,LB,4,4,32,Boise State
2024,DAL,55,Carl Lawson,DE,15,3,29,Auburn
2024,DAL,2,Jourdan Lewis,DB,16,13,29,Michigan
2024,DAL,35,Marist Liufau,LB,17,9,23,Notre Dame
2024,DAL,40,Hunter Luepke,RB,16,4,24,North State Dakota
2024,DAL,70,Zack Martin,OG,10,10,33,Notre Dame
2024,DAL,81,Jonathan Mingo,WR,8,1,23,Mississippi
2024,DAL,97,Osa Odighizuwa,DT,17,17,26,UCLA
2024,DAL,27,Amani Oruwariye,DB,7,4,28,Penn State
2024,DAL,13,DeMarvion Overshown,LB,13,12,24,Texas
2024,DAL,11,Micah Parsons,DE,13,13,25,Penn State
2024,DAL,98,Jordan Phillips,DT,2,0,32,Oklahoma
2024,DAL,4,Dak Prescott,QB,8,8,31,Mississippi State
2024,DAL,32,Troy Pride,DB,2,1,26,Notre Dame
2024,DAL,76,Asim Richards,OT,13,1,24,North Carolina
2024,DAL,96,Justin Rogers,DT,0,0,23,Auburn
2024,DAL,10,Cooper Rush,QB,12,8,30,Central Michigan
2024,DAL,86,Luke Schoonmaker,TE,17,6,26,Michigan
2024,DAL,65,Dakoda Shepley,C,3,0,29,British Columbia
2024,DAL,44,Trent Sieg,LS,17,0,29,Colorado State
2024,DAL,58,Mazi Smith,DT,17,17,23,Michigan
2024,DAL,73,Tyler Smith,OG,16,16,23,Tulsa
2024,DAL,89,Brevyn Ford Spann-,TE,17,0,24,Minnesota
2024,DAL,78,Terence Steele,OT,17,17,27,Texas Tech
2024,DAL,30,Juanyeh Thomas,DB,13,0,24,Georgia Tech
2024,DAL,1,Jalen Tolbert,WR,17,15,25,South Alabama
2024,DAL,9,KaVontae Turpin,WR,17,2,28,Texas Christian
2024,DAL,42,Deuce Vaughn,RB,7,0,22,Kansas State
2024,DAL,41,Nick Vigil,LB,16,1,31,Utah State
2024,DAL,79,Matt Waletzko,OT,7,0,24,North Dakota
2024,DAL,92,Carlos Watkins,DE,15,0,30,Clemson
2024,DAL,91,Tyrus Wheat,LB,8,0,24,Mississippi State
2024,DAL,6,Donovan Wilson,DB,17,17,29,Texas A&M
