season,team,number,player,position,games,games_started,age,college
2020,DAL,56,Bradlee Anae,DE,7,0,22,Utah
2020,DAL,95,Eli Ankou,DT,7,0,26,UCLA
2020,DAL,92,Dorance Armstrong,LB,16,2,23,Kansas
2020,DAL,24,Chidobe Awuzie,DB,8,6,25,Colorado
2020,DAL,80,Blake Bell,TE,16,2,29,Oklahoma
2020,DAL,44,Francis Bernard,LB,13,0,25,Utah
2020,DAL,63,Tyler Biadasz,C,12,4,22,Wisconsin
2020,DAL,30,Anthony Brown,DB,10,8,26,Purdue
2020,DAL,85,Noah Brown,WR,16,1,23,Ohio State
2020,DAL,33,Deante Burton,DB,4,0,26,Kansas State
2020,DAL,39,Brandon Carr,DB,3,0,34,Grand Valley State
2020,DAL,97,Ron'Dell Carter,DE,3,0,23,James Madison
2020,DAL,19,Amari Cooper,WR,16,15,26,Alabama
2020,DAL,98,Tyrone Crawford,DE,16,3,30,Boise State
2020,DAL,14,Andy Dalton,QB,11,9,33,Texas Christian
2020,DAL,27,Trevon Diggs,DB,12,11,22,Alabama
2020,DAL,7,Ben DiNucci,QB,3,1,23,James Madison
2020,DAL,34,Rico Dowdle,RB,15,0,22,South Carolina
2020,DAL,21,Ezekiel Elliott,RB,15,15,25,Ohio State
2020,DAL,75,Cameron Erving,OT,6,5,28,Florida State
2020,DAL,96,Neville Gallimore,DT,14,9,23,Oklahoma
2020,DAL,13,Michael Gallup,WR,16,15,24,Colorado State
2020,DAL,57,Luke Gifford,LB,8,0,25,Nebraska
2020,DAL,3,Garrett Gilbert,QB,1,1,29,Southern Methodist
2020,DAL,29,C.J. Goodwin,DB,16,0,30,California (PA)
2020,DAL,94,Randy Gregory,DE,10,0,27,Nebraska
2020,DAL,97,Everson Griffen,DE,7,0,32,Southern California
2020,DAL,79,Justin Hamilton,DT,10,2,27,Louisiana- Lafayette
2020,DAL,62,Marcus Henry,C,1,0,27,Boise State
2020,DAL,72,Trysten Hill,DT,5,5,22,Central Florida
2020,DAL,89,Blake Jarwin,TE,1,1,26,Oklahoma State
2020,DAL,6,Chris Jones,P,8,0,31,Carson-Newman
2020,DAL,69,Brandon Knight,OT,13,9,23,Indiana
2020,DAL,91,L.P. Ladouceur,LS,16,0,39,California
2020,DAL,88,CeeDee Lamb,WR,16,14,21,Oklahoma
2020,DAL,90,Demarcus Lawrence,LB,16,15,28,Boise State
2020,DAL,50,Sean Lee,LB,9,2,34,Penn State
2020,DAL,26,Jourdan Lewis,DB,15,13,25,Michigan
2020,DAL,73,Joe Looney,C,13,12,30,Wake Forest
2020,DAL,59,Justin March,LB,12,0,27,Akron
2020,DAL,70,Zack Martin,OG,10,10,29,Notre Dame
2020,DAL,66,Connor McGovern,C,14,8,22,Penn State
2020,DAL,84,Sean McKeon,TE,14,1,22,Michigan
2020,DAL,1,Hunter Niswander,P,8,0,25,Northwestern
2020,DAL,45,Sewo Olonilua,RB,2,0,22,Texas Christian
2020,DAL,93,Walter Palmore,DT,1,0,24,Missouri
2020,DAL,40,Steven Parker,DB,8,0,24,Oklahoma
2020,DAL,95,Dontari Poe,DT,7,7,30,Memphis
2020,DAL,20,Tony Pollard,RB,16,2,23,Memphis
2020,DAL,4,Dak Prescott,QB,5,5,27,Mississippi State
2020,DAL,51,Adam Redmond,C,4,0,27,Harvard
2020,DAL,28,Rashard Robinson,DB,4,3,25,Louisiana State
2020,DAL,41,Reggie Robinson,DB,5,0,23,Tulsa
2020,DAL,86,Dalton Schultz,TE,16,14,24,Stanford
2020,DAL,64,Greg Senat,OT,10,0,26,Wagner
2020,DAL,58,Aldon Smith,LB,16,16,31,Missouri
2020,DAL,67,Eric Smith,OT,1,0,25,Virginia
2020,DAL,54,Jaylon Smith,LB,16,16,25,Notre Dame
2020,DAL,32,Saivion Smith,DB,6,1,22,Alabama
2020,DAL,77,Tyron Smith,OT,2,2,29,Southern California
2020,DAL,78,Terence Steele,OT,16,14,23,Texas Tech
2020,DAL,48,Joe Thomas,LB,15,4,29,SouthState Carolina
2020,DAL,23,Darian Thompson,DB,15,7,27,Boise State
2020,DAL,17,Malik Turner,WR,6,0,24,Illinois
2020,DAL,55,Leighton Vander Esch,LB,10,10,23,Boise State
2020,DAL,31,Chris Westry,DB,2,0,23,Kentucky
2020,DAL,52,Connor Williams,OG,16,16,23,Texas
2020,DAL,11,Cedrick Wilson,WR,16,0,24,Boise State
2020,DAL,37,Donovan Wilson,DB,14,10,25,Texas A&M
2020,DAL,99,Antwaun Woods,DT,14,7,27,Southern California
2020,DAL,25,Xavier Woods,DB,15,15,25,Louisiana Tech
2020,DAL,28,Daryl Worley,DB,7,4,25,West Virginia
2020,DAL,2,Greg Zuerlein,K,16,0,32,Missouri State Western
