season,team,number,player,position,games,games_started,age,college
2021,DAL,56,Bradlee Anae,DE,4,0,23,Utah
2021,DAL,5,Bryan Anger,P,17,0,33,California
2021,DAL,92,Dorance Armstrong,LB,13,5,24,Kansas
2021,DAL,93,Tarell Basham,LB,17,6,27,Ohio
2021,DAL,53,Francis Bernard,LB,8,0,26,Utah
2021,DAL,63,Tyler Biadasz,C,17,17,23,Wisconsin
2021,DAL,98,Quinton Bohanna,DT,14,1,22,Kentucky
2021,DAL,30,Anthony Brown,DB,16,16,27,Purdue
2021,DAL,36,Kyron Brown,DB,1,0,25,Akron
2021,DAL,85,Noah Brown,WR,13,1,24,Ohio State
2021,DAL,49,Ian Bunting,TE,1,0,25,California
2021,DAL,33,Deante Burton,DB,1,0,27,Kansas State
2021,DAL,31,Maurice Canady,DB,8,0,27,Virginia
2021,DAL,32,Corey Clement,RB,17,0,26,Wisconsin
2021,DAL,71,La'el Collins,OT,12,10,28,Louisiana State
2021,DAL,19,Amari Cooper,WR,15,14,27,Alabama
2021,DAL,14,Jabril Cox,LB,7,0,23,Louisiana State
2021,DAL,39,Tyler Coyle,DB,2,0,22,Purdue
2021,DAL,7,Trevon Diggs,DB,16,16,23,Alabama
2021,DAL,21,Ezekiel Elliott,RB,17,17,26,Ohio State
2021,DAL,58,Austin Faoliu,DT,1,0,22,Oregon
2021,DAL,68,Matt Farniok,OG,12,0,25,Nebraska
2021,DAL,81,Simi Fehoko,WR,5,0,23,Stanford
2021,DAL,96,Neville Gallimore,DT,5,4,24,Oklahoma
2021,DAL,13,Michael Gallup,WR,9,8,25,Colorado State
2021,DAL,57,Luke Gifford,LB,16,0,26,Nebraska
2021,DAL,59,Chauncey Golston,DE,15,0,23,Iowa
2021,DAL,29,C.J. Goodwin,DB,17,0,31,California (PA)
2021,DAL,94,Randy Gregory,DE,12,11,28,Nebraska
2021,DAL,3,Lirim Hajrullahu,K,1,0,31,Western Ontario
2021,DAL,99,Justin Hamilton,DT,9,0,28,Louisiana- Lafayette
2021,DAL,37,JaQuan Hardy,RB,3,0,23,Tiffin
2021,DAL,72,Trysten Hill,DT,6,0,23,Central Florida
2021,DAL,28,Malik Hooker,DB,15,3,25,Ohio State
2021,DAL,89,Blake Jarwin,TE,8,5,27,Oklahoma State
2021,DAL,24,Kelvin Joseph,DB,10,2,20,Kentucky
2021,DAL,54,Azur Kamara,DE,9,0,--,Kansas
2021,DAL,18,Damontae Kazee,DB,17,15,28,San Diego State
2021,DAL,27,Jayron Kearse,DB,16,15,27,Clemson
2021,DAL,69,Brandon Knight,OT,1,0,24,Indiana
2021,DAL,88,CeeDee Lamb,WR,16,13,22,Oklahoma
2021,DAL,90,Demarcus Lawrence,LB,7,7,29,Boise State
2021,DAL,70,Zack Martin,OG,16,16,30,Notre Dame
2021,DAL,66,Connor McGovern,C,16,6,23,Penn State
2021,DAL,84,Sean McKeon,TE,9,2,23,Michigan
2021,DAL,44,Jake McQuaide,LS,17,0,33,Ohio State
2021,DAL,38,Israel Mukuamu,DB,4,0,21,South Carolina
2021,DAL,42,Keanu Neal,DB,14,5,26,Florida
2021,DAL,79,Ty Nsekhe,OT,12,0,36,Texas State
2021,DAL,97,Osa Odighizuwa,DT,16,12,23,UCLA
2021,DAL,11,Micah Parsons,DE,16,16,22,Penn State
2021,DAL,20,Tony Pollard,RB,15,0,24,Memphis
2021,DAL,4,Dak Prescott,QB,16,16,28,Mississippi State
2021,DAL,46,Nick Ralston,RB,4,0,24,Louisiana- Lafayette
2021,DAL,10,Cooper Rush,QB,5,1,27,Central Michigan
2021,DAL,86,Dalton Schultz,TE,17,15,25,Stanford
2021,DAL,43,Ito Smith,RB,1,0,26,Southern Mississippi
2021,DAL,9,Jaylon Smith,LB,4,2,26,Notre Dame
2021,DAL,77,Tyron Smith,OT,11,11,30,Southern California
2021,DAL,87,Jeremy Sprinkle,TE,17,4,27,Arkansas
2021,DAL,78,Terence Steele,OT,16,13,24,Texas Tech
2021,DAL,23,Darian Thompson,DB,5,0,28,Boise State
2021,DAL,17,Malik Turner,WR,14,0,25,Illinois
2021,DAL,95,Brent Urban,DE,6,4,30,Virginia
2021,DAL,55,Leighton Vander Esch,LB,17,16,24,Boise State
2021,DAL,91,Carlos Watkins,DE,15,14,27,Clemson
2021,DAL,52,Connor Williams,OG,17,14,24,Texas
2021,DAL,1,Cedrick Wilson,WR,16,4,25,Boise State
2021,DAL,6,Donovan Wilson,DB,9,3,26,Texas A&M
2021,DAL,25,Nahshon Wright,DB,13,1,23,Oregon State
2021,DAL,2,Greg Zuerlein,K,16,0,33,Missouri Western State
