season,team,number,player,position,games,games_started,age,college
2022,DAL,36,Mackensie Alexander,DB,1,1,27,Clemson
2022,DAL,5,Bryan Anger,P,17,0,34,California
2022,DAL,92,Dorance Armstrong,LB,17,5,25,Kansas
2022,DAL,75,Josh Ball,OT,13,0,24,Marshall
2022,DAL,42,Anthony Barr,LB,14,10,30,UCLA
2022,DAL,93,Tarell Basham,LB,2,0,28,Ohio
2022,DAL,41,Markquese Bell,DB,5,0,23,Florida A&M
2022,DAL,63,Tyler Biadasz,C,16,16,24,Wisconsin
2022,DAL,26,DaRon Bland,DB,17,8,23,Fresno State
2022,DAL,98,Quinton Bohanna,DT,13,9,23,Kentucky
2022,DAL,3,Anthony Brown,DB,12,12,28,Purdue
2022,DAL,85,Noah Brown,WR,16,13,25,Ohio State
2022,DAL,33,Damone Clark,LB,10,5,22,Louisiana State
2022,DAL,76,Aviante Collins,OT,2,0,29,Texas Christian
2022,DAL,14,Jabril Cox,LB,9,0,24,Louisiana State
2022,DAL,31,Tyler Coyle,DB,1,0,23,Purdue
2022,DAL,34,Malik Davis,RB,12,0,23,Florida
2022,DAL,7,Trevon Diggs,DB,17,17,24,Alabama
2022,DAL,23,Rico Dowdle,RB,5,0,24,South Carolina
2022,DAL,21,Ezekiel Elliott,RB,15,14,27,Ohio State
2022,DAL,68,Matt Farniok,OG,7,2,26,Nebraska
2022,DAL,81,Simi Fehoko,WR,5,0,24,Stanford
2022,DAL,87,Jake Ferguson,TE,16,8,23,Wisconsin
2022,DAL,56,Dante Jr. Fowler,LB,17,0,28,Florida
2022,DAL,96,Neville Gallimore,DT,16,1,25,Oklahoma
2022,DAL,13,Michael Gallup,WR,14,11,26,Colorado State
2022,DAL,57,Luke Gifford,LB,16,0,27,Nebraska
2022,DAL,99,Chauncey Golston,DE,15,0,24,Iowa
2022,DAL,29,C.J. Goodwin,DB,17,0,32,California (PA)
2022,DAL,15,Will Grier,QB,0,0,27,West Virginia
2022,DAL,95,Johnathan Hankins,DT,5,3,30,Ohio State
2022,DAL,50,Devin Harper,LB,3,0,24,Oklahoma State
2022,DAL,89,Peyton Hendershot,TE,17,2,23,Indiana
2022,DAL,72,Trysten Hill,DT,7,0,24,Central Florida
2022,DAL,16,T.Y. Hilton,WR,3,0,32,FloridaInternational
2022,DAL,67,Brock Hoffman,OG,3,0,23,Virginia Tech
2022,DAL,28,Malik Hooker,DB,16,6,26,Ohio State
2022,DAL,17,Dennis Houston,WR,2,0,23,Western Illinois
2022,DAL,1,Kelvin Joseph,DB,16,1,21,Kentucky
2022,DAL,27,Jayron Kearse,DB,14,14,28,Clemson
2022,DAL,88,CeeDee Lamb,WR,17,17,23,Oklahoma Demarcus
2022,DAL,90,Lawrence,LB,17,17,30,Boise State
2022,DAL,2,Jourdan Lewis,DB,6,4,27,Michigan
2022,DAL,19,Brett Maher,K,17,0,32,Nebraska
2022,DAL,70,Zack Martin,OG,17,17,31,Notre Dame
2022,DAL,66,Connor McGovern,C,15,15,24,Penn State
2022,DAL,84,Sean McKeon,TE,13,0,24,Michigan
2022,DAL,44,Jake McQuaide,LS,4,0,34,Ohio State
2022,DAL,24,Israel Mukuamu,DB,15,3,22,South Carolina
2022,DAL,37,Trayvon Mullen,DB,1,0,25,Clemson
2022,DAL,97,Osa Odighizuwa,DT,17,17,24,UCLA
2022,DAL,30,Qadree Ollison,RB,3,0,26,Pittsburgh
2022,DAL,45,Matt Overton,LS,13,0,37,Western Washington
2022,DAL,11,Micah Parsons,DE,17,17,23,Penn State
2022,DAL,71,Jason Peters,OT,12,1,40,Arkansas
2022,DAL,20,Tony Pollard,RB,16,4,25,Memphis
2022,DAL,4,Dak Prescott,QB,12,12,29,Mississippi State
2022,DAL,10,Cooper Rush,QB,9,5,28,Central Michigan
2022,DAL,86,Dalton Schultz,TE,15,15,26,Stanford
2022,DAL,64,Dakoda Shepley,C,4,0,27,British Columbia
2022,DAL,73,Tyler Smith,OG,17,17,21,Tulsa
2022,DAL,77,Tyron Smith,OT,4,4,31,Southern California
2022,DAL,78,Terence Steele,OT,13,13,25,Texas Tech
2022,DAL,69,Alex Taylor,OT,1,0,25,South State Carolina
2022,DAL,18,Jalen Tolbert,WR,8,1,23,South Alabama KaVontae
2022,DAL,9,Turpin,WR,17,0,26,Texas Christian
2022,DAL,55,Leighton Vander Esch,LB,14,14,25,Boise State
2022,DAL,79,Matt Waletzko,OT,3,0,22,North Dakota
2022,DAL,83,James Washington,WR,2,0,26,Oklahoma State
2022,DAL,91,Carlos Watkins,DE,12,4,28,Clemson
2022,DAL,54,Sam Williams,DE,15,0,23,Mississippi
2022,DAL,6,Donovan Wilson,DB,17,17,27,Texas A&M
2022,DAL,25,Nahshon Wright,DB,7,2,24,Oregon State
